trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
159,False,"{'a': 0.02, 'e': 0.02629329626202759}",20,6,22.10193149548051,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.02, 'e': 0.01929512932500975}",25,10,14.94311988481398,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.02, 'e': 0.011796053213782446}",20,4,28.152945277330222,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.02, 'e': 0.0037963176760648218}",20,8,23.756047800849586,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,19,21.464880314147745,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,9,39.54667852813511,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,9,19.55919983500348,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",35,4,53.12016170518844,"{0: 31, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,9,19.86441480316894,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,13,13.408599448368427,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,9,21.114056612644312,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,11,15.84097421003835,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,14,20.958314970729123,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,8,30.243101468662683,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
